,start,stop,strand,gene_name,length,,gene_product,evidence,PMID_list,confidence,all_bnumber,regulonDB_geneID
b0189,213678,213932,-,rof,254,,modulator of Rho-dependent transcription termination,"[IE|W|Inferred from experiment],[IMP|W|Inferred from mutant phenotype]","15836776,17565995,9723924,",Weak,b0189,ECK120002717
b4406,213925,214125,-,yaeP,200,,UPF0253 family protein YaeP,,,,b4406,ECK120002691
b0190,214291,214836,+,yaeQ,545,,uncharacterized protein YaeQ,,"32117137,",,b0190,ECK120002718
b0191,214833,215255,+,arfB,422,,"peptidyl-tRNA hydrolase, ribosome rescue factor",,"22427623,24322300,",,b0191,ECK120002223
b0192,215269,215979,+,nlpE,710,,sensor lipoprotein NlpE,"[IDA|S|Inferred from direct assay],[IGI|W|Inferred from genetic interaction]","20211889,28416660,30833359,7635807,9023180,",Strong,b0192,ECK120002038
b0193,216179,217003,-,yaeF,824,,peptidase C92 family protein YaeF,,"11574054,",,b0193,ECK120002039
b0194,217057,218775,-,proS,1718,,proline&mdash;tRNA ligase,,"22458656,",,b0194,ECK120000761
b0195,218887,219594,-,trmO,707,,tRNA mA37 methyltransferase,,,,b0195,ECK120001459
b0196,219591,219995,-,rcsF,404,,sensor lipoprotein RcsF,"[IDA|S|Inferred from direct assay],[IGI|W|Inferred from genetic interaction],[IMP|W|Inferred from mutant phenotype]","12410838,13129944,1459951,15375134,16166540,19136591,23893115,25525882,29257832,30782633,31113901,31113910,32094588,9209051,",Strong,b0196,ECK120001458
b0197,220113,220928,-,metQ,815,,L-methionine/D-methionine ABC transporter membrane anchored binding protein,,"12218041,15174130,",,b0197,ECK120001460
b0198,220968,221621,-,metI,653,,L-methionine/D-methionine ABC transporter membrane subunit,,"12218041,",,b0198,ECK120001676
b0199,221614,222645,-,metN,1031,,L-methionine/D-methionine ABC transporter ATP binding subunit,,"12169620,12218041,",,b0199,ECK120001569
b0200,222833,223408,+,gmhB,575,,"D--heptose-1,7-bisphosphate 7-phosphatase",,"24412338,",,b0200,ECK120001675
b0201,223771,225312,+,rrsH,1541,,16S ribosomal RNA,,"10753935,10844684,10919826,1094419,1101264,1102922,1103124,110460,11751827,12087167,12498,12902289,12903214,14510386,1646122,1716101,1718749,1764510,1764516,2145040,2168847,2222527,2387410,2435709,2443830,2448485,2473375,2685545,2689447,2833391,3013618,3071662,3071664,319193,320561,326259,327272,327273,3277949,331075,331313,3313279,3329282,342117,344139,348233,365689,378405,383432,384145,3894326,390405,392468,407931,4560773,4564202,4918356,4942898,4943519,6285294,6330033,6361011,6752954,6995826,7516168,7601845,769922,7718670,782716,782717,789334,793615,8041615,8312257,8377198,8419334,8515441,9034358,9226253,9501232,9769102,",,b0201,ECK120002532
b0202,225381,225457,+,ileV,76,,tRNA-Ile(GAU),[TAS|W|Traceable author statement],"7033244,",Weak,b0202,ECK120002487
b0203,225500,225575,+,alaV,75,,tRNA-Ala(UGC),[TAS|W|Traceable author statement],"7033244,",Weak,b0203,ECK120002453
b0204,225759,228662,+,rrlH,2903,,23S ribosomal RNA,[TASES|W|Traceable author statement to experimental support],"10051579,10464195,10525403,10793686,10844684,1094419,10964562,10986461,1098691,1101264,1102922,1103090,1103124,11157269,11350034,11517305,11574482,11675490,11680845,11741781,11751827,11888286,11955006,11991636,12022228,12034826,12467398,12498,12533472,12888505,1719209,1918155,1981803,2197598,2407189,2473375,3013618,3048270,3053641,3060850,3089782,319193,319197,3226909,325525,327272,327273,3277949,329865,331075,331313,3313279,3329282,342117,355851,359042,388189,3894326,390405,407931,4563865,4584388,4918356,4931952,4942898,4943519,6158039,6162473,6170632,6173374,6193815,6255418,6349628,6361011,6750359,6996708,7016337,7041903,7514294,7529560,7567991,7601845,7682175,775291,782716,782717,785385,789334,791272,8031879,805122,8253085,8515441,8524828,8643399,8643630,8654409,8710862,8834779,8918803,9016593,9034358,9135982,9367788,9396814,9501232,9573162,9586034,9620960,9769102,9836593,9989214,",Weak,b0204,ECK120002525
b0205,228756,228875,+,rrfH,119,,5S ribosomal RNA,[TASES|W|Traceable author statement to experimental support],"11401702,11488615,164889,1709493,1709723,1718749,1764510,2190187,2412207,2493632,3013618,3089782,324975,327272,331075,3315008,342117,359042,4198187,4216514,4550693,4571522,4591367,4609878,4621557,4881049,4881332,4906324,4906608,4918254,4920877,4924729,4931952,4944480,4993318,6178431,6188537,6255417,6390428,6765232,7024913,782717,805122,810137,95791,9862991,9878392,",Weak,b0205,ECK120002518
b0206,228928,229004,+,aspU,76,,tRNA-Asp(GUC),[TAS|W|Traceable author statement],"7033244,",Weak,b0206,ECK120002467
b0207,229167,229970,+,dkgB,803,,methylglyoxal reductase DkgB,,,,b0207,ECK120001592
b0208,229967,230881,-,yafC,914,,LysR family transcriptional regulator YafC,"[IPI|W|Inferred from physical interaction],[HIFS|W|Human inference of function from sequence]","15556475,30137486,",Weak,b0208,ECK120001593
b0209,231122,231922,+,yafD,800,,endonuclease/exonuclease/phosphatase domain-containing protein YafD,,,,b0209,ECK120001594
b0210,231926,232549,+,yafE,623,,putative S-adenosylmethionine-dependent methyltransferase,,,,b0210,ECK120001595
b0211,232597,233955,-,mltD,1358,,membrane-bound lytic murein transglycosylase D,,"10843862,11139297,1663890,8203016,",,b0211,ECK120000240
b0212,234027,234782,-,gloB,755,,hydroxyacylglutathione hydrolase GloB,,"27861552,",,b0212,ECK120002719
b0213,234816,235538,+,yafS,722,,putative S-adenosyl-L-methionine-dependent methyltransferase,,,,b0213,ECK120002720
b0214,235535,236002,-,rnhA,467,,ribonuclease HI,,,,b0214,ECK120000851
b0215,236067,236798,+,dnaQ,731,,DNA polymerase III subunit &epsilon;,,"6325441,6359162,",,b0215,ECK120000237
b0216,236931,237007,+,aspV,76,,tRNA-Asp(GUC),[TAS|W|Traceable author statement],"3295485,7033244,",Weak,b0216,ECK120002468
b0217,237335,238120,+,yafT,785,,lipoprotein YafT,,,,b0217,ECK120002721
b4586,238257,238736,-,ykfM,479,,uncharacterized protein YkfM,,,,b4586,ECK120030067
,238462,238586,+,C0067,124,,,,,,,ECK120002607
b0218,238746,239084,-,yafU,338,,putative inner membrane protein,,"24391520,",,b0218,ECK120002722
b4503,239190,239378,+,yafF,188,,putative uncharacterized protein YafF,,,,b4503,ECK120016283
b0219,239419,240189,-,yafV,770,,2-oxoglutaramate amidase,,,,b0219,ECK120002723
b0220,240343,240816,+,ivy,473,,"periplasmic chaperone, inhibitor of vertebrate C-type lysozyme",,,,b0220,ECK120002724
b0221,240859,243303,-,fadE,2444,,acyl-CoA dehydrogenase,,"1097444,12694916,16385050,23656231,29369593,350850,374354,6355101,",,b0221,ECK120002725
b0222,243543,244121,+,gmhA,578,,D-sedoheptulose 7-phosphate isomerase,,"23843301,",,b0222,ECK120002726
b0223,244327,245094,+,yafJ,767,,putative glutamine amidotransferase YafJ,,,,b0223,ECK120002727
b0224,245065,245805,-,ldtF,740,,"L,D-transpeptidase domain-containing protein LdtF",[IHBCE|W|Inferred by a human based on computational evidence],"11555281,30233559,30275297,31743648,",Weak,b0224,ECK120002728
b0225,245961,246239,-,yafQ,278,,ribosome-dependent mRNA interferase toxin YafQ,,"24923448,",,b0225,ECK120002729
b0226,246242,246502,-,dinJ,260,,antitoxin/DNA-binding transcriptional repressor DinJ,,,,b0226,ECK120002730
b0227,246712,247461,+,yafL,749,,NlpC/P60 family protein YafL,,"24391520,",,b0227,ECK120002731
b0228,247637,248134,+,rayT,497,,REP-associated tyrosine transposase,[IDA|S|Inferred from direct assay],"21698139,22199259,25636231,",Strong,b0228,ECK120002732
b0229,248358,250070,-,lfhA,1712,,"flagellar system protein, promoterless fragment",,,,b0229,ECK120002733
b0230,250072,250827,+,lafU,755,,"flagellar system protein, promoterless fragment",,,,b0230,ECK120002734
b0231,250898,251953,+,dinB,1055,,DNA polymerase IV,,"10320582,11069662,11124950,11459972,11573000,11587937,11734560,12060704,12097328,12509239,12606122,12754247,14617178,14729336,15141361,15339923,15687217,15827613,16338175,16386932,16482223,16483853,16904387,17397877,17635192,18761688,19188081,19270270,19843218,20472798,20523737,20639336,21477595,22820381,23229309,23525461,24243543,25301949,25899385,26523515,28298904,28727736,29255195,2940594,29468195,29850882,29907648,30087411,31810989,",,b0231,ECK120002735
b0232,252005,252298,+,yafN,293,,antitoxin YafN,[IDA|S|Inferred from direct assay],"19617347,",Strong,b0232,ECK120002736
b0233,252301,252699,+,yafO,398,,ribosome-dependent mRNA interferase toxin YafO,"[IMP|W|Inferred from mutant phenotype],[APPH|S|Assay of protein purified  to homogeneity]","14594833,19617347,",Strong,b0233,ECK120002737
b0234,252709,253161,+,yafP,452,,putative acyltransferase with acyl-CoA N-acyltransferase domain,,,,b0234,ECK120002738
b0235,253467,253733,+,ykfJ,266,,RNA ligase superfamily protein YkfJ,,,,b0235,ECK120002739
b0236,253702,254202,+,prfH,500,,putative peptide chain release factor,[HIFS|W|Human inference of function from sequence],"1408743,",Weak,b0236,ECK120001452
b0237,254259,255716,-,pepD,1457,,peptidase D,,"1938933,21905274,2651887,",,b0237,ECK120000687
b0238,255977,256435,+,gpt,458,,xanthine-guanine phsophoribosyltransferase,,,,b0238,ECK120000407
b0239,256527,257771,+,frsA,1244,,fermentation-respiration switch protein,"[IMP|W|Inferred from mutant phenotype],[APPH|S|Assay of protein purified  to homogeneity]","15169777,15808744,",Strong,b0239,ECK120001079
b4710,257923,258426,-,insB9,503,,IS1 transposase B,,,,b4710,ECK125229290
b4709,258345,258620,-,insA9,275,,IS1 repressor TnpA,,,,b4709,ECK125229291
b0241,259045,260100,-,phoE,1055,,outer membrane porin PhoE,,,,b0241,ECK120000720
b0242,260388,261491,+,proB,1103,,glutamate 5-kinase,,,,b0242,ECK120000759
b0243,261503,262756,+,proA,1253,,glutamate-5-semialdehyde dehydrogenase,,,,b0243,ECK120000758
b0244,262871,262946,+,thrW,75,,tRNA-Thr(CGU),[TAS|W|Traceable author statement],"6761541,7033244,",Weak,b0244,ECK120002546
b4626,263150,263212,-,ykfN,62,,YdiA family protein,,,,b4626,ECK125276499
b0245,263328,263669,-,ykfI,341,,CP4-6 prophage; toxin of the YkfI-YafW toxin-antitoxin system,[IMP|W|Inferred from mutant phenotype],"14594833,",Weak,b0245,ECK120002740
b0246,263690,264007,-,yafW,317,,antitoxin of the YkfI-YafW toxin-antitoxin pair,[AUPEINH|W|Assay of unpurified protein expressed in its native host],"14594833,",Weak,b0246,ECK120002741
b4504,264026,264247,-,ykfH,221,,DUF987 domain-containing protein YkfH,,,,b4504,ECK120016284
b0247,264256,264732,-,ykfG,476,,CP4-6 prophage; RadC-like JAB domain-containing protein YkfG,,,,b0247,ECK120002742
b0248,264748,265206,-,yafX,458,,CP4-6 prophage; protein YafX,,,,b0248,ECK120002743
b0249,265304,265543,-,ykfF,239,,CP4-6 prophage; protein YkfF,,,,b0249,ECK120002744
b0250,265620,266087,-,ykfB,467,,CP4-6 prophage; protein YkfB,,,,b0250,ECK120002745
b0251,266110,266553,-,yafY,443,,CP4-6 prophage; inner membrane lipoprotein YafY,,,,b0251,ECK120002746
b4627,266553,266774,-,ykfL,221,,,,,,b4627,ECK120033231
b4628,266776,266967,-,ykfK,191,,,,,,b4628,ECK120033232
b0252,267184,268005,-,yafZ,821,,CP4-6 prophage; DUF932 domain-containing protein YafZ,,,,b0252,ECK120002747
b0253,268097,268960,-,ykfA,863,,CP4-6 prophage; putative GTP-binding protein YkfA,,,,b0253,ECK120002748
b0254,269289,270182,-,perR,893,,CP4-6 prophage; putative transcriptional regulator PerR,[AIFS|W|Automated inference of function from sequence],"15556475,",Weak,b0254,ECK120002749
b0256,270603,271754,+,insI1,1151,,IS30 transposase,,,,b0256,ECK120002751
b4690,272580,272654,+,eyeA,74,,CP4-6 prophage; small RNA EyeA,,,,b4690,ECK125135291
b0258,272847,273992,+,ykfC,1145,,CP4-6 prophage; PF00078 domain-containing protein YkfC,,,,b0258,ECK120002753
b0259,274101,275081,-,insH1,980,,CP4-6 prophage; IS transposase and trans-activator,,,,b0259,ECK120002754
b0260,275325,276728,+,mmuP,1403,,CP4-6 prophage; -methyl-L-methionine transporter,,,,b0260,ECK120002755
b0261,276715,277647,+,mmuM,932,,CP4-6 prophage; homocysteine -methyltransferase,,"25552925,",,b0261,ECK120002756
b0262,277756,278802,-,afuC,1046,,CP4-6 prophage; ABC transporter ATP-binding protein AfuC,[AIFS|W|Automated inference of function from sequence],"16397293,",Weak,b0262,ECK120002215
b0263,278814,279162,-,afuB,348,,CP4-6 prophage; ABC transporter membrane protein AfuB,,,,b0263,ECK120002757
,279178,279875,-,insAB2,697,,InsAB' transposase,[IMP|W|Inferred from mutant phenotype],"8083181,",Weak,,ECK120023913
b0264,279178,279681,-,insB2,503,,IS1 protein InsB,[IMP|W|Inferred from mutant phenotype],"8083181,",Weak,b0264,ECK120002758
b0265,279600,279875,-,insA2,275,,IS1 protein InsA,[IMP|W|Inferred from mutant phenotype],"8083181,",Weak,b0265,ECK120002759
b4708,279931,280104,+,insI2,173,,,,,,b4708,ECK125240991
b4505,280114,280362,-,insX,248,,,,,,b4505,ECK120016285
b0266,280385,280735,-,yagB,350,,CP4-6 prophage; orphan antitoxin YagB,,,,b0266,ECK120002214
b0267,280829,281983,-,yagA,1154,,CP4-6 prophage; integrase core domain-containing protein YagA,,,,b0267,ECK120002213
b0268,282278,283186,+,yagE,908,,CP4-6 prophage; putative 2-dehydro-3-deoxygluconate aldolase,,,,b0268,ECK120002760
b0269,283201,285168,+,yagF,1967,,CP4-6 prophage; D-xylonate dehydratase,,"29392388,",,b0269,ECK120002761
b0270,285395,286777,+,yagG,1382,,CP4-6 prophage; putative D-xylonate transporter YagG,,"11750821,",,b0270,ECK120002762
b0271,286789,288399,+,yagH,1610,,CP4-6 prophage; putative xylosidase/arabinosidase,,,,b0271,ECK120002763
b0272,288404,289162,-,xynR,758,,CP4-6 prophage; DNA-binding transcriptional repressor XynR,"[ICWHO|W|Inferred computationally without human oversight],[HIFS|W|Human inference of function from sequence],[APPHINH|S|Assay of protein purified to homogeneity from its native host],[IEP|W|Inferred from expression pattern]","15556475,29087459,",Strong,b0272,ECK120002764
b0273,289301,290305,-,argF,1004,,CP4-6 prophage; ornithine carbamoyltransferase ArgF,,,,b0273,ECK120000063
b4766,290275,290370,-,argL,95,,putative translational regulatory protein ArgL,[IMP|W|Inferred from mutant phenotype],"30837344,",Weak,b4766,ECK125286387
b4688,290510,290638,+,ykgS,128,,CP4-6 prophage; protein YkgS,,,,b4688,ECK125240987
b0274,290649,291152,-,insB3,503,,IS1 protein InsB,,,,b0274,ECK120002765
,290649,291346,-,insAB3,697,,InsAB' transposase,,,,,ECK120023914
b0275,291071,291346,-,insA3,275,,IS1 protein InsA,,,,b0275,ECK120002766
b0276,291500,292231,+,yagJ,731,,CP4-6 prophage; protein YagJ,,,,b0276,ECK120002767
b0277,292322,292948,-,yagK,626,,CP4-6 prophage; uncharacterized protein YagK,,,,b0277,ECK120002768
b0278,293220,293918,-,yagL,698,,CP4-6 prophage; resolvase-like catalytic domain-containing protein YagL,,,,b0278,ECK120002769
b0279,293945,294799,-,yagM,854,,CP4-6 prophage; protein YagM,,,,b0279,ECK120002770
b4729,294918,295142,-,ykgV,224,,CP4-6 prophage; protein YkgV,,,,b4729,ECK125276526
b0280,295139,295579,-,yagN,440,,CP4-6 prophage; protein YagN,,,,b0280,ECK120002771
b0281,295696,297096,-,intF,1400,,CP4-6 prophage; putative phage integrase,,"27718375,",,b0281,ECK120002772
,297137,297304,-,nc1,167,,small noncoding RNA involved in nucleoid organization,[IMP|W|Inferred from mutant phenotype],"22942248,",Weak,,ECK125146691
b0282,297381,297791,-,yagP,410,,putative LysR family substrate binding domain-containing protein YagP,,,,"b0282,b4695",ECK120002773
b0283,297770,298726,-,paoD,956,,molybdenum cofactor insertion chaperone PaoD,,,,b0283,ECK120002774
b0284,298736,300934,-,paoC,2198,,aldehyde dehydrogenase: molybdenum cofactor-binding subunit,,,,b0284,ECK120002775
b0285,300931,301887,-,paoB,956,,"aldehyde dehydrogenase, FAD-binding subunit",,,,b0285,ECK120002776
b0286,301884,302573,-,paoA,689,,"aldehyde dehydrogenase, Fe-S subunit",,,,b0286,ECK120002777
b0287,302991,303605,+,yagU,614,,inner membrane protein that contributes to acid resistance,[IMP|W|Inferred from mutant phenotype],"17026754,",Weak,b0287,ECK120002778
b0288,303853,304182,-,ykgJ,329,,putative zinc- or iron-chelating domain-containing protein YkgJ,,"24391520,",,b0288,ECK120002779
b0289,304495,305205,-,ecpE,710,,putative fimbrial chaperone EcpE,,"20345943,23382825,",,b0289,ECK120002780
b0290,305174,306817,-,ecpD,1643,,fimbrial adhesin EcpD,,"20345943,23382825,",,b0290,ECK120002781
b0291,306807,309332,-,ecpC,2525,,putative fimbrial usher protein EcpC,,"20345943,23382825,",,b0291,ECK120002782
b0292,309358,310026,-,ecpB,668,,putative fimbrial chaperone EcpB,,"20345943,23382825,",,b0292,ECK120002783
b0293,310084,310671,-,ecpA,587,,common pilus major subunit,"[ICA|W|Inferred by computational analysis],[IMP|W|Inferred from mutant phenotype]","11466275,17563352,20345943,20522494,23382825,",Weak,b0293,ECK120002784
b0294,310746,311336,-,ecpR,590,,DNA-binding transcriptional dual regulator MatA,"[AIFS|W|Automated inference of function from sequence],[APPHINH|S|Assay of protein purified to homogeneity from its native host],[IEP|W|Inferred from expression pattern]","15556475,22422754,",Strong,b0294,ECK120002785
b0295,312112,312339,+,ykgL,227,,uncharacterized protein YkgL,,,,b0295,ECK120002786
b4506,312374,312514,-,ykgO,140,,50S ribosomal subunit protein L36B,[IDA|S|Inferred from direct assay],"30359641,",Strong,b4506,ECK120016286
b0296,312514,312777,-,ykgM,263,,50S ribosomal subunit protein L31B,"[IDA|S|Inferred from direct assay],[IMP|W|Inferred from mutant phenotype],[HIFS|W|Human inference of function from sequence]","11574053,19377097,22016571,30359641,",Strong,b0296,ECK120002787
b4671,313141,313242,-,ykgR,101,,uncharacterized membrane protein YkgR,,,,b4671,ECK120048866
b4630,313716,313805,-,ykgP,89,,putative oxidoreductase,,,,b4630,ECK125276501
b0297,314357,315244,+,eaeH,887,,putative porin domain-containing protein EaeH,[ICA|W|Inferred by computational analysis],,Weak,b0297,ECK120002057
b0298,315291,315590,+,insE1,299,,IS3 element protein InsE,[IDA|S|Inferred from direct assay],"8107082,",Strong,b0298,ECK120002788
,315291,316453,+,insEF1,1162,,IS3 element transposase,[IDA|S|Inferred from direct assay],"8107082,",Strong,,ECK120023906
b0299,315587,316453,+,insF1,866,,IS3 element protein InsF,[IDA|S|Inferred from direct assay],"8107082,",Strong,b0299,ECK120002789
b0300,316450,317136,-,ykgA,686,,putative DNA-binding transcriptional regulator YkgA,[HIFS|W|Human inference of function from sequence],"10734204,15556475,",Weak,b0300,ECK120002790
b4631,317439,317567,+,ykgQ,128,,,,,,b4631,ECK125095416
b0301,317726,318319,-,rclC,593,,reactive chlorine species resistance protein C,[IMP|W|Inferred from mutant phenotype],"24078635,",Weak,b0301,ECK120002791
b0303,318331,318567,-,rclB,236,,DUF1471 domain-containing protein RclB,[IMP|W|Inferred from mutant phenotype],"24078635,",Weak,b0303,ECK120002792
b0304,318676,320001,-,rclA,1325,,cupric reductase RclA,,,,b0304,ECK120002793
b0305,320227,321081,+,rclR,854,,DNA-binding transcriptional activator RclR,[HIFS|W|Human inference of function from sequence],"10734204,15556475,",Weak,b0305,ECK120002794
b0306,321608,322327,+,ykgE,719,,putative lactate utilization oxidoreductase YkgE,[IGI|W|Inferred from genetic interaction],"19196979,19201793,",Weak,b0306,ECK120002795
